Deck A,Deck B,Different,Same,Jaccard,,
BUG Midrange,Grixis Delver,97,26.5,0.214574899,"{""source"": ""BUG Midrange"", ""target"": ""Grixis Delver"", ""value"":0.2145748987854251},","{""source"": ""BUG Midrange"", ""target"": ""Grixis Delver"", ""value"":0.04604238718877542},"
BUG Midrange,Humans,144,3,0.020408163,"{""source"": ""BUG Midrange"", ""target"": ""Humans"", ""value"":0.02040816326530612},","{""source"": ""BUG Midrange"", ""target"": ""Humans"", ""value"":0.00041649312786339016},"
BUG Midrange,Infect,92.5,29,0.238683128,"{""source"": ""BUG Midrange"", ""target"": ""Infect"", ""value"":0.23868312757201646},","{""source"": ""BUG Midrange"", ""target"": ""Infect"", ""value"":0.05696963538755948},"
BUG Midrange,Junk,107,21.5,0.167315175,"{""source"": ""BUG Midrange"", ""target"": ""Junk"", ""value"":0.16731517509727625},","{""source"": ""BUG Midrange"", ""target"": ""Junk"", ""value"":0.02799436781783221},"
BUG Midrange,Lands,143,3.571428572,0.024366472,"{""source"": ""BUG Midrange"", ""target"": ""Lands"", ""value"":0.024366471738696424},","{""source"": ""BUG Midrange"", ""target"": ""Lands"", ""value"":0.0005937249449926915},"
BUG Midrange,Legacy Landstill,113,18.5,0.140684411,"{""source"": ""BUG Midrange"", ""target"": ""Legacy Landstill"", ""value"":0.14068441064638784},","{""source"": ""BUG Midrange"", ""target"": ""Legacy Landstill"", ""value"":0.019792103398921485},"
BUG Midrange,LOAM,120.3333333,15,0.110837438,"{""source"": ""BUG Midrange"", ""target"": ""LOAM"", ""value"":0.11083743841652918},","{""source"": ""BUG Midrange"", ""target"": ""LOAM"", ""value"":0.0122849377547379},"
BUG Midrange,Maverick,137.6666667,6.166666666,0.042873696,"{""source"": ""BUG Midrange"", ""target"": ""Maverick"", ""value"":0.04287369640423809},","{""source"": ""BUG Midrange"", ""target"": ""Maverick"", ""value"":0.0018381538433627782},"
BUG Midrange,Merfolk,132,9,0.063829787,"{""source"": ""BUG Midrange"", ""target"": ""Merfolk"", ""value"":0.06382978723404255},","{""source"": ""BUG Midrange"", ""target"": ""Merfolk"", ""value"":0.004074241738343141},"
BUG Midrange,MUD,147,1.5,0.01010101,"{""source"": ""BUG Midrange"", ""target"": ""MUD"", ""value"":0.010101010101010102},","{""source"": ""BUG Midrange"", ""target"": ""MUD"", ""value"":0.0001020304050607081},"
BUG Midrange,Nic Fit,111.6666667,19.16666667,0.146496815,"{""source"": ""BUG Midrange"", ""target"": ""Nic Fit"", ""value"":0.14649681527761776},","{""source"": ""BUG Midrange"", ""target"": ""Nic Fit"", ""value"":0.021461316886484463},"
BUG Midrange,Painter,134,8,0.056338028,"{""source"": ""BUG Midrange"", ""target"": ""Painter"", ""value"":0.056338028169014086},","{""source"": ""BUG Midrange"", ""target"": ""Painter"", ""value"":0.0031739734179726245},"
BUG Midrange,Pikula,122,14,0.102941176,"{""source"": ""BUG Midrange"", ""target"": ""Pikula"", ""value"":0.10294117647058823},","{""source"": ""BUG Midrange"", ""target"": ""Pikula"", ""value"":0.010596885813148788},"
BUG Midrange,Reanimator,132.5,8.833333334,0.0625,"{""source"": ""BUG Midrange"", ""target"": ""Reanimator"", ""value"":0.0625000000048644},","{""source"": ""BUG Midrange"", ""target"": ""Reanimator"", ""value"":0.00390625000060805},"
BUG Midrange,Slivers,142,4,0.02739726,"{""source"": ""BUG Midrange"", ""target"": ""Slivers"", ""value"":0.0273972602739726},","{""source"": ""BUG Midrange"", ""target"": ""Slivers"", ""value"":0.0007506098705197973},"
BUG Midrange,Sneak & Show,111.7692308,19.15384616,0.146298472,"{""source"": ""BUG Midrange"", ""target"": ""Sneak & Show"", ""value"":0.1462984723920931},","{""source"": ""BUG Midrange"", ""target"": ""Sneak & Show"", ""value"":0.021403243024260023},"
BUG Midrange,Stoneblade,100,25,0.2,"{""source"": ""BUG Midrange"", ""target"": ""Stoneblade"", ""value"":0.20000000000000007},","{""source"": ""BUG Midrange"", ""target"": ""Stoneblade"", ""value"":0.04000000000000003},"
BUG Midrange,Storm,106.7777778,21.61111111,0.1683254,"{""source"": ""BUG Midrange"", ""target"": ""Storm"", ""value"":0.1683254002625499},","{""source"": ""BUG Midrange"", ""target"": ""Storm"", ""value"":0.02833344037354764},"
BUG Midrange,UR Delver,110.6,19.7,0.151189563,"{""source"": ""BUG Midrange"", ""target"": ""UR Delver"", ""value"":0.15118956254796617},","{""source"": ""BUG Midrange"", ""target"": ""UR Delver"", ""value"":0.022858283823445374},"
BUG Midrange,UWx Control,103.9375,23.0625,0.181594488,"{""source"": ""BUG Midrange"", ""target"": ""UWx Control"", ""value"":0.1815944881889764},","{""source"": ""BUG Midrange"", ""target"": ""UWx Control"", ""value"":0.032976558140616286},"
BUG Midrange,Zombie Bombardment,107,21.5,0.167315175,"{""source"": ""BUG Midrange"", ""target"": ""Zombie Bombardment"", ""value"":0.16731517509727625},","{""source"": ""BUG Midrange"", ""target"": ""Zombie Bombardment"", ""value"":0.02799436781783221},"
Burn,Canadian Threshold,136.3333333,6.833333333,0.047729919,"{""source"": ""Burn"", ""target"": ""Canadian Threshold"", ""value"":0.04772991850712244},","{""source"": ""Burn"", ""target"": ""Canadian Threshold"", ""value"":0.0022781451206965488},"
Burn,Cloudpost Ramp,147,1.5,0.01010101,"{""source"": ""Burn"", ""target"": ""Cloudpost Ramp"", ""value"":0.01010101010107812},","{""source"": ""Burn"", ""target"": ""Cloudpost Ramp"", ""value"":0.00010203040506208222},"
Burn,Death's Shadow,146.1333333,1.933333333,0.013057181,"{""source"": ""Burn"", ""target"": ""Death's Shadow"", ""value"":0.013057181447428581},","{""source"": ""Burn"", ""target"": ""Death's Shadow"", ""value"":0.00017048998735107315},"
Burn,Doomsday,146.3333333,1.833333334,0.012373453,"{""source"": ""Burn"", ""target"": ""Doomsday"", ""value"":0.01237345332280681},","{""source"": ""Burn"", ""target"": ""Doomsday"", ""value"":0.00015310234713167888},"
Burn,Dragon Stompy,126.1666667,12,0.086851628,"{""source"": ""Burn"", ""target"": ""Dragon Stompy"", ""value"":0.08685162847569049},","{""source"": ""Burn"", ""target"": ""Dragon Stompy"", ""value"":0.0075432053688793705},"
Burn,Dredge,145.6666667,2.166666666,0.014656144,"{""source"": ""Burn"", ""target"": ""Dredge"", ""value"":0.014656144301976827},","{""source"": ""Burn"", ""target"": ""Dredge"", ""value"":0.00021480256580036781},"
Burn,Eldrazi Aggro,142.7333333,3.633333334,0.024823503,"{""source"": ""Burn"", ""target"": ""Eldrazi Aggro"", ""value"":0.02482350262349163},","{""source"": ""Burn"", ""target"": ""Eldrazi Aggro"", ""value"":0.0006162062824984958},"
Burn,Elves,145.3333333,2.333333333,0.015801354,"{""source"": ""Burn"", ""target"": ""Elves"", ""value"":0.015801354399298858},","{""source"": ""Burn"", ""target"": ""Elves"", ""value"":0.0002496828008522414},"
Burn,Food Chain,147.6666667,1.166666666,0.007838746,"{""source"": ""Burn"", ""target"": ""Food Chain"", ""value"":0.007838745796104829},","{""source"": ""Burn"", ""target"": ""Food Chain"", ""value"":6.144593565595113e-05},"
Burn,Goblins,127,11.5,0.083032491,"{""source"": ""Burn"", ""target"": ""Goblins"", ""value"":0.08303249097412975},","{""source"": ""Burn"", ""target"": ""Goblins"", ""value"":0.006894394557368938},"
Burn,Grixis Control,138.1666667,5.916666667,0.041064199,"{""source"": ""Burn"", ""target"": ""Grixis Control"", ""value"":0.04106419896105927},","{""source"": ""Burn"", ""target"": ""Grixis Control"", ""value"":0.0016862684363134612},"
Burn,Grixis Delver,135.8333333,7.083333333,0.049562682,"{""source"": ""Burn"", ""target"": ""Grixis Delver"", ""value"":0.0495626822129487},","{""source"": ""Burn"", ""target"": ""Grixis Delver"", ""value"":0.0024564594681417413},"
Burn,Humans,147.6666667,1.166666666,0.007838746,"{""source"": ""Burn"", ""target"": ""Humans"", ""value"":0.007838745796104829},","{""source"": ""Burn"", ""target"": ""Humans"", ""value"":6.144593565595113e-05},"
Burn,Lands,146.8095238,1.666666667,0.011225144,"{""source"": ""Burn"", ""target"": ""Lands"", ""value"":0.011225144325392379},","{""source"": ""Burn"", ""target"": ""Lands"", ""value"":0.00012600386512588873},"
Burn,Legacy Landstill,146.6666667,1.666666666,0.011235955,"{""source"": ""Burn"", ""target"": ""Legacy Landstill"", ""value"":0.011235955051559148},","{""source"": ""Burn"", ""target"": ""Legacy Landstill"", ""value"":0.00012624668592065754},"
Burn,Maverick,145.6666667,2.166666667,0.014656144,"{""source"": ""Burn"", ""target"": ""Maverick"", ""value"":0.014656144309236889},","{""source"": ""Burn"", ""target"": ""Maverick"", ""value"":0.00021480256601317683},"
Burn,MUD,145.3333333,2.333333333,0.015801354,"{""source"": ""Burn"", ""target"": ""MUD"", ""value"":0.01580135439940586},","{""source"": ""Burn"", ""target"": ""MUD"", ""value"":0.0002496828008556229},"
Burn,Nic Fit,146.3333333,1.833333333,0.012373453,"{""source"": ""Burn"", ""target"": ""Nic Fit"", ""value"":0.01237345331639169},","{""source"": ""Burn"", ""target"": ""Nic Fit"", ""value"":0.00015310234697292453},"
Burn,Painter,143.3333333,3.333333333,0.022727273,"{""source"": ""Burn"", ""target"": ""Painter"", ""value"":0.0227272727247934},","{""source"": ""Burn"", ""target"": ""Painter"", ""value"":0.000516528925507138},"
Burn,Pikula,145.6666667,2.166666666,0.014656144,"{""source"": ""Burn"", ""target"": ""Pikula"", ""value"":0.014656144301976821},","{""source"": ""Burn"", ""target"": ""Pikula"", ""value"":0.00021480256580036765},"
Burn,Reanimator,143.5,3.333333334,0.022701476,"{""source"": ""Burn"", ""target"": ""Reanimator"", ""value"":0.02270147560035097},","{""source"": ""Burn"", ""target"": ""Reanimator"", ""value"":0.0005153569944333304},"
Burn,Sneak & Show,144.5384615,2.769230769,0.018798956,"{""source"": ""Burn"", ""target"": ""Sneak & Show"", ""value"":0.01879895561146071},","{""source"": ""Burn"", ""target"": ""Sneak & Show"", ""value"":0.00035340073208167016},"
Burn,Stoneblade,147.1333333,1.433333333,0.009647745,"{""source"": ""Burn"", ""target"": ""Stoneblade"", ""value"":0.009647745117705662},","{""source"": ""Burn"", ""target"": ""Stoneblade"", ""value"":9.307898585621344e-05},"
Burn,Storm,146.6666667,1.666666666,0.011235955,"{""source"": ""Burn"", ""target"": ""Storm"", ""value"":0.011235955051786392},","{""source"": ""Burn"", ""target"": ""Storm"", ""value"":0.00012624668592576413},"
Burn,UR Delver,123.6666667,13.16666667,0.096224117,"{""source"": ""Burn"", ""target"": ""UR Delver"", ""value"":0.0962241169245283},","{""source"": ""Burn"", ""target"": ""UR Delver"", ""value"":0.009259080677905294},"
Burn,UWx Control,145.4791667,2.291666666,0.015508248,"{""source"": ""Burn"", ""target"": ""UWx Control"", ""value"":0.015508247563338412},","{""source"": ""Burn"", ""target"": ""UWx Control"", ""value"":0.00024050574248579178},"
Burn,Zombie Bombardment,144.3333333,2.833333333,0.019252548,"{""source"": ""Burn"", ""target"": ""Zombie Bombardment"", ""value"":0.019252548128930902},","{""source"": ""Burn"", ""target"": ""Zombie Bombardment"", ""value"":0.00037066060945680076},"
Canadian Threshold,Cloudpost Ramp,146.6666667,1.666666667,0.011235955,"{""source"": ""Canadian Threshold"", ""target"": ""Cloudpost Ramp"", ""value"":0.011235955058603711},","{""source"": ""Canadian Threshold"", ""target"": ""Cloudpost Ramp"", ""value"":0.00012624668607896233},"
Canadian Threshold,Dark Depths,141,4.611111111,0.031667303,"{""source"": ""Canadian Threshold"", ""target"": ""Dark Depths"", ""value"":0.03166730255640724},","{""source"": ""Canadian Threshold"", ""target"": ""Dark Depths"", ""value"":0.0010028180511990365},"
Canadian Threshold,Death and taxes,138.4,5.8,0.040221914,"{""source"": ""Canadian Threshold"", ""target"": ""Death and taxes"", ""value"":0.040221914008321785},","{""source"": ""Canadian Threshold"", ""target"": ""Death and taxes"", ""value"":0.0016178023664928322},"
Canadian Threshold,Death's Shadow,85.3,32.35,0.274968126,"{""source"": ""Canadian Threshold"", ""target"": ""Death's Shadow"", ""value"":0.2749681257968551},","{""source"": ""Canadian Threshold"", ""target"": ""Death's Shadow"", ""value"":0.07560747020423512},"
Canadian Threshold,Delver (Other),74,38,0.339285714,"{""source"": ""Canadian Threshold"", ""target"": ""Delver (Other)"", ""value"":0.3392857142857143},","{""source"": ""Canadian Threshold"", ""target"": ""Delver (Other)"", ""value"":0.11511479591836736},"
Canadian Threshold,Doomsday,121,14.5,0.10701107,"{""source"": ""Canadian Threshold"", ""target"": ""Doomsday"", ""value"":0.1070110701107011},","{""source"": ""Canadian Threshold"", ""target"": ""Doomsday"", ""value"":0.011451369126237386},"
Canadian Threshold,Dragon Stompy,147.3333333,1.416666667,0.00952381,"{""source"": ""Canadian Threshold"", ""target"": ""Dragon Stompy"", ""value"":0.009523809526114445},","{""source"": ""Canadian Threshold"", ""target"": ""Dragon Stompy"", ""value"":9.070294788970824e-05},"
Canadian Threshold,Dredge,146,2,0.013513514,"{""source"": ""Canadian Threshold"", ""target"": ""Dredge"", ""value"":0.013513513513513514},","{""source"": ""Canadian Threshold"", ""target"": ""Dredge"", ""value"":0.00018261504747991238},"
Canadian Threshold,Eldrazi Aggro,144,3,0.020408163,"{""source"": ""Canadian Threshold"", ""target"": ""Eldrazi Aggro"", ""value"":0.02040816326530612},","{""source"": ""Canadian Threshold"", ""target"": ""Eldrazi Aggro"", ""value"":0.00041649312786339016},"
Canadian Threshold,Elves,145.5,2.25,0.015228426,"{""source"": ""Canadian Threshold"", ""target"": ""Elves"", ""value"":0.015228426395836018},","{""source"": ""Canadian Threshold"", ""target"": ""Elves"", ""value"":0.00023190497049339518},"
Canadian Threshold,Food Chain,110.5,19.75,0.151631478,"{""source"": ""Canadian Threshold"", ""target"": ""Food Chain"", ""value"":0.15163147792706333},","{""source"": ""Canadian Threshold"", ""target"": ""Food Chain"", ""value"":0.022992105098345494},"
Canadian Threshold,Goblins,134.5,7.75,0.054481547,"{""source"": ""Canadian Threshold"", ""target"": ""Goblins"", ""value"":0.054481546572934976},","{""source"": ""Canadian Threshold"", ""target"": ""Goblins"", ""value"":0.002968238916978883},"
Canadian Threshold,Grixis Control,99.75,25.125,0.201201201,"{""source"": ""Canadian Threshold"", ""target"": ""Grixis Control"", ""value"":0.2012012012012012},","{""source"": ""Canadian Threshold"", ""target"": ""Grixis Control"", ""value"":0.040481923364806244},"
Canadian Threshold,Grixis Delver,53.5,48.25,0.474201474,"{""source"": ""Canadian Threshold"", ""target"": ""Grixis Delver"", ""value"":0.4742014742014742},","{""source"": ""Canadian Threshold"", ""target"": ""Grixis Delver"", ""value"":0.22486703813485137},"
Canadian Threshold,Humans,135,7.5,0.052631579,"{""source"": ""Canadian Threshold"", ""target"": ""Humans"", ""value"":0.05263157894736842},","{""source"": ""Canadian Threshold"", ""target"": ""Humans"", ""value"":0.0027700831024930744},"
Canadian Threshold,Infect,113,18.75,0.142314991,"{""source"": ""Canadian Threshold"", ""target"": ""Infect"", ""value"":0.14231499051233396},","{""source"": ""Canadian Threshold"", ""target"": ""Infect"", ""value"":0.020253556524525703},"
Canadian Threshold,Junk,132.5,8.75,0.061946903,"{""source"": ""Canadian Threshold"", ""target"": ""Junk"", ""value"":0.061946902654867256},","{""source"": ""Canadian Threshold"", ""target"": ""Junk"", ""value"":0.0038374187485316},"
Canadian Threshold,Lands,135,7.571428572,0.053106212,"{""source"": ""Canadian Threshold"", ""target"": ""Lands"", ""value"":0.053106212428644856},","{""source"": ""Canadian Threshold"", ""target"": ""Lands"", ""value"":0.002820269798516353},"
Canadian Threshold,Legacy Landstill,111,19.5,0.149425287,"{""source"": ""Canadian Threshold"", ""target"": ""Legacy Landstill"", ""value"":0.14942528735632185},","{""source"": ""Canadian Threshold"", ""target"": ""Legacy Landstill"", ""value"":0.02232791650151936},"
Canadian Threshold,LOAM,134.5,7.916666667,0.055588063,"{""source"": ""Canadian Threshold"", ""target"": ""LOAM"", ""value"":0.05558806319784187},","{""source"": ""Canadian Threshold"", ""target"": ""LOAM"", ""value"":0.0030900327700872617},"
Canadian Threshold,Maverick,136.8333333,6.583333333,0.045903544,"{""source"": ""Canadian Threshold"", ""target"": ""Maverick"", ""value"":0.04590354444975001},","{""source"": ""Canadian Threshold"", ""target"": ""Maverick"", ""value"":0.0021071353930501753},"
Canadian Threshold,Merfolk,125.5,12.25,0.08892922,"{""source"": ""Canadian Threshold"", ""target"": ""Merfolk"", ""value"":0.08892921960072596},","{""source"": ""Canadian Threshold"", ""target"": ""Merfolk"", ""value"":0.007908406098794143},"
Canadian Threshold,MUD,143,3.5,0.023890785,"{""source"": ""Canadian Threshold"", ""target"": ""MUD"", ""value"":0.023890784982935155},","{""source"": ""Canadian Threshold"", ""target"": ""MUD"", ""value"":0.0005707696071008399},"
Canadian Threshold,Nic Fit,146.3333333,1.833333334,0.012373453,"{""source"": ""Canadian Threshold"", ""target"": ""Nic Fit"", ""value"":0.012373453323307871},","{""source"": ""Canadian Threshold"", ""target"": ""Nic Fit"", ""value"":0.0001531023471440786},"
Canadian Threshold,Painter,138.5,5.75,0.039861352,"{""source"": ""Canadian Threshold"", ""target"": ""Painter"", ""value"":0.03986135181975736},","{""source"": ""Canadian Threshold"", ""target"": ""Painter"", ""value"":0.0015889273688984736},"
Canadian Threshold,Pikula,138,6,0.041666667,"{""source"": ""Canadian Threshold"", ""target"": ""Pikula"", ""value"":0.041666666666666664},","{""source"": ""Canadian Threshold"", ""target"": ""Pikula"", ""value"":0.001736111111111111},"
Canadian Threshold,Reanimator,143,3.583333334,0.024445708,"{""source"": ""Canadian Threshold"", ""target"": ""Reanimator"", ""value"":0.024445707793119838},","{""source"": ""Canadian Threshold"", ""target"": ""Reanimator"", ""value"":0.0005975926295065999},"
Canadian Threshold,Slivers,142,4,0.02739726,"{""source"": ""Canadian Threshold"", ""target"": ""Slivers"", ""value"":0.0273972602739726},","{""source"": ""Canadian Threshold"", ""target"": ""Slivers"", ""value"":0.0007506098705197973},"
Canadian Threshold,Sneak & Show,100.5,24.78846154,0.197851113,"{""source"": ""Canadian Threshold"", ""target"": ""Sneak & Show"", ""value"":0.19785111281686615},","{""source"": ""Canadian Threshold"", ""target"": ""Sneak & Show"", ""value"":0.0391450628428723},"
Canadian Threshold,Stoneblade,86.8,31.6,0.266891892,"{""source"": ""Canadian Threshold"", ""target"": ""Stoneblade"", ""value"":0.26689189189189194},","{""source"": ""Canadian Threshold"", ""target"": ""Stoneblade"", ""value"":0.07123128195763334},"
Canadian Threshold,Storm,120.6111111,14.69444444,0.10860193,"{""source"": ""Canadian Threshold"", ""target"": ""Storm"", ""value"":0.1086019297873109},","{""source"": ""Canadian Threshold"", ""target"": ""Storm"", ""value"":0.011794379153528005},"
Canadian Threshold,UR Delver,52.4,48.8,0.482213439,"{""source"": ""Canadian Threshold"", ""target"": ""UR Delver"", ""value"":0.4822134387351777},","{""source"": ""Canadian Threshold"", ""target"": ""UR Delver"", ""value"":0.23252980049680497},"
Canadian Threshold,UWx Control,102.0625,24,0.190381755,"{""source"": ""Canadian Threshold"", ""target"": ""UWx Control"", ""value"":0.19038175508180466},","{""source"": ""Canadian Threshold"", ""target"": ""UWx Control"", ""value"":0.03624521266802826},"
Canadian Threshold,Zombie Bombardment,139.5,5.25,0.03626943,"{""source"": ""Canadian Threshold"", ""target"": ""Zombie Bombardment"", ""value"":0.03626943005181347},","{""source"": ""Canadian Threshold"", ""target"": ""Zombie Bombardment"", ""value"":0.00131547155628339},"
Cloudpost Ramp,Dark Depths,126.4444444,11.88888889,0.085943775,"{""source"": ""Cloudpost Ramp"", ""target"": ""Dark Depths"", ""value"":0.08594377511298978},","{""source"": ""Cloudpost Ramp"", ""target"": ""Dark Depths"", ""value"":0.0073863324806721625},"
Cloudpost Ramp,Death and taxes,138.9333333,5.533333333,0.0383018,"{""source"": ""Cloudpost Ramp"", ""target"": ""Death and taxes"", ""value"":0.03830179972125406},","{""source"": ""Cloudpost Ramp"", ""target"": ""Death and taxes"", ""value"":0.0014670278618870577},"
Cloudpost Ramp,Death's Shadow,146,2,0.013513514,"{""source"": ""Cloudpost Ramp"", ""target"": ""Death's Shadow"", ""value"":0.013513513513696129},","{""source"": ""Cloudpost Ramp"", ""target"": ""Death's Shadow"", ""value"":0.00018261504748484788},"
Cloudpost Ramp,Delver (Other),144,3,0.020408163,"{""source"": ""Cloudpost Ramp"", ""target"": ""Delver (Other)"", ""value"":0.02040816326558378},","{""source"": ""Cloudpost Ramp"", ""target"": ""Delver (Other)"", ""value"":0.0004164931278747232},"
Cloudpost Ramp,Dragon Stompy,135.1666667,7.499999999,0.052570093,"{""source"": ""Cloudpost Ramp"", ""target"": ""Dragon Stompy"", ""value"":0.0525700934515487},","{""source"": ""Cloudpost Ramp"", ""target"": ""Dragon Stompy"", ""value"":0.0027636147255045633},"
Cloudpost Ramp,Eldrazi Aggro,91.86666667,29.06666666,0.240352811,"{""source"": ""Cloudpost Ramp"", ""target"": ""Eldrazi Aggro"", ""value"":0.24035281144299692},","{""source"": ""Cloudpost Ramp"", ""target"": ""Eldrazi Aggro"", ""value"":0.05776947396855283},"
Cloudpost Ramp,Elves,141.3333333,4.333333333,0.029748284,"{""source"": ""Cloudpost Ramp"", ""target"": ""Elves"", ""value"":0.02974828375070822},","{""source"": ""Cloudpost Ramp"", ""target"": ""Elves"", ""value"":0.0008849603861126508},"
Cloudpost Ramp,Food Chain,140.3333333,4.833333333,0.033295063,"{""source"": ""Cloudpost Ramp"", ""target"": ""Food Chain"", ""value"":0.033295063143895465},","{""source"": ""Cloudpost Ramp"", ""target"": ""Food Chain"", ""value"":0.0011085612297559862},"
Cloudpost Ramp,Goblins,143.3333333,3.333333333,0.022727273,"{""source"": ""Cloudpost Ramp"", ""target"": ""Goblins"", ""value"":0.022727272725258256},","{""source"": ""Cloudpost Ramp"", ""target"": ""Goblins"", ""value"":0.0005165289255282678},"
Cloudpost Ramp,Grixis Control,143.9166667,3.041666667,0.020697477,"{""source"": ""Cloudpost Ramp"", ""target"": ""Grixis Control"", ""value"":0.020697476611612992},","{""source"": ""Cloudpost Ramp"", ""target"": ""Grixis Control"", ""value"":0.00042838553808826685},"
Cloudpost Ramp,Grixis Delver,146.1666667,1.916666667,0.012943163,"{""source"": ""Cloudpost Ramp"", ""target"": ""Grixis Delver"", ""value"":0.012943162636107147},","{""source"": ""Cloudpost Ramp"", ""target"": ""Grixis Delver"", ""value"":0.0001675254590247201},"
Cloudpost Ramp,Humans,144,3,0.020408163,"{""source"": ""Cloudpost Ramp"", ""target"": ""Humans"", ""value"":0.020408163265583777},","{""source"": ""Cloudpost Ramp"", ""target"": ""Humans"", ""value"":0.0004164931278747231},"
Cloudpost Ramp,Infect,140.1666667,5.166666667,0.035550459,"{""source"": ""Cloudpost Ramp"", ""target"": ""Infect"", ""value"":0.03555045871846066},","{""source"": ""Cloudpost Ramp"", ""target"": ""Infect"", ""value"":0.0012638351150929756},"
Cloudpost Ramp,Junk,140,5,0.034482759,"{""source"": ""Cloudpost Ramp"", ""target"": ""Junk"", ""value"":0.034482758621165274},","{""source"": ""Cloudpost Ramp"", ""target"": ""Junk"", ""value"":0.001189060642125548},"
Cloudpost Ramp,Lands,120.1428571,15,0.110993658,"{""source"": ""Cloudpost Ramp"", ""target"": ""Lands"", ""value"":0.11099365750598934},","{""source"": ""Cloudpost Ramp"", ""target"": ""Lands"", ""value"":0.012319592006556865},"
Cloudpost Ramp,Legacy Landstill,144.6666667,2.666666667,0.018099548,"{""source"": ""Cloudpost Ramp"", ""target"": ""Legacy Landstill"", ""value"":0.018099547513861298},","{""source"": ""Cloudpost Ramp"", ""target"": ""Legacy Landstill"", ""value"":0.0003275936202065227},"
Cloudpost Ramp,LOAM,139,5.666666666,0.039170507,"{""source"": ""Cloudpost Ramp"", ""target"": ""LOAM"", ""value"":0.03917050690855613},","{""source"": ""Cloudpost Ramp"", ""target"": ""LOAM"", ""value"":0.0015343286114732433},"
Cloudpost Ramp,Maverick,136.6666667,6.666666664,0.046511628,"{""source"": ""Cloudpost Ramp"", ""target"": ""Maverick"", ""value"":0.04651162788945375},","{""source"": ""Cloudpost Ramp"", ""target"": ""Maverick"", ""value"":0.0021633315289270117},"
Cloudpost Ramp,Merfolk,143.6666667,3.166666666,0.021566402,"{""source"": ""Cloudpost Ramp"", ""target"": ""Merfolk"", ""value"":0.021566401811773578},","{""source"": ""Cloudpost Ramp"", ""target"": ""Merfolk"", ""value"":0.00046510968710687065},"
Cloudpost Ramp,MUD,108.6666667,20.66666667,0.159793814,"{""source"": ""Cloudpost Ramp"", ""target"": ""MUD"", ""value"":0.15979381442051493},","{""source"": ""Cloudpost Ramp"", ""target"": ""MUD"", ""value"":0.025534063127057968},"
Cloudpost Ramp,Nic Fit,132,9,0.063829787,"{""source"": ""Cloudpost Ramp"", ""target"": ""Nic Fit"", ""value"":0.0638297872372114},","{""source"": ""Cloudpost Ramp"", ""target"": ""Nic Fit"", ""value"":0.004074241738747676},"
Cloudpost Ramp,Painter,134,8,0.056338028,"{""source"": ""Cloudpost Ramp"", ""target"": ""Painter"", ""value"":0.056338028169807555},","{""source"": ""Cloudpost Ramp"", ""target"": ""Painter"", ""value"":0.0031739734180620295},"
Cloudpost Ramp,Pikula,142,4,0.02739726,"{""source"": ""Cloudpost Ramp"", ""target"": ""Pikula"", ""value"":0.027397260274347905},","{""source"": ""Cloudpost Ramp"", ""target"": ""Pikula"", ""value"":0.0007506098705403619},"
Cloudpost Ramp,Reanimator,144.8333333,2.666666667,0.018079096,"{""source"": ""Cloudpost Ramp"", ""target"": ""Reanimator"", ""value"":0.018079096047702765},","{""source"": ""Cloudpost Ramp"", ""target"": ""Reanimator"", ""value"":0.0003268537139020617},"
Cloudpost Ramp,Slivers,143.3333333,3.333333333,0.022727273,"{""source"": ""Cloudpost Ramp"", ""target"": ""Slivers"", ""value"":0.022727272725258256},","{""source"": ""Cloudpost Ramp"", ""target"": ""Slivers"", ""value"":0.0005165289255282678},"
Cloudpost Ramp,Sneak & Show,139.4102564,5.333333333,0.036846767,"{""source"": ""Cloudpost Ramp"", ""target"": ""Sneak & Show"", ""value"":0.036846767047825205},","{""source"": ""Cloudpost Ramp"", ""target"": ""Sneak & Show"", ""value"":0.0013576842418766973},"
Cloudpost Ramp,Stoneblade,143.2666667,3.366666667,0.022959764,"{""source"": ""Cloudpost Ramp"", ""target"": ""Stoneblade"", ""value"":0.02295976358527101},","{""source"": ""Cloudpost Ramp"", ""target"": ""Stoneblade"", ""value"":0.0005271507438915367},"
Cloudpost Ramp,UR Delver,146.6666667,1.666666667,0.011235955,"{""source"": ""Cloudpost Ramp"", ""target"": ""UR Delver"", ""value"":0.011235955058603708},","{""source"": ""Cloudpost Ramp"", ""target"": ""UR Delver"", ""value"":0.00012624668607896225},"
Cloudpost Ramp,UWx Control,146.1041667,1.979166667,0.013365222,"{""source"": ""Cloudpost Ramp"", ""target"": ""UWx Control"", ""value"":0.01336522228721115},","{""source"": ""Cloudpost Ramp"", ""target"": ""UWx Control"", ""value"":0.00017862916678656565},"
Cloudpost Ramp,Zombie Bombardment,146.6666667,1.666666667,0.011235955,"{""source"": ""Cloudpost Ramp"", ""target"": ""Zombie Bombardment"", ""value"":0.011235955058603706},","{""source"": ""Cloudpost Ramp"", ""target"": ""Zombie Bombardment"", ""value"":0.0001262466860789622},"
Dark Depths,Death and taxes,139.3555556,5.433333333,0.0375259,"{""source"": ""Dark Depths"", ""target"": ""Death and taxes"", ""value"":0.03752589977615948},","{""source"": ""Dark Depths"", ""target"": ""Death and taxes"", ""value"":0.001408193154010366},"
