0,1,2,3,4,,,,,,,,
Infect,Storm,168.36,22.09,0.115988448,8.699133631,0.028997112,"{""source"": ""Infect"", ""target"": ""Storm"", ""value"": 9},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Infect"", ""target"": ""Storm"", ""value"": 0.028997112},"
Storm,UR Delver,171.35,22.42,0.115704185,8.677813903,0.028926046,"{""source"": ""Storm"", ""target"": ""UR Delver"", ""value"": 9},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Storm"", ""target"": ""UR Delver"", ""value"": 0.02892604625},"
Death and taxes,UWx Control,218.49,28.2,0.114313511,8.573513316,0.028578378,"{""source"": ""Death and taxes"", ""target"": ""UWx Control"", ""value"": 9},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death and taxes"", ""target"": ""UWx Control"", ""value"": 0.02857837775},"
BUG Midrange,Pikula,147.33,19,0.114230746,8.567305958,0.028557687,"{""source"": ""BUG Midrange"", ""target"": ""Pikula"", ""value"": 9},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""BUG Midrange"", ""target"": ""Pikula"", ""value"": 0.0285576865},"
Death's Shadow,Pikula,165.34,21.25,0.11388606,8.541454526,0.028471515,"{""source"": ""Death's Shadow"", ""target"": ""Pikula"", ""value"": 9},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death's Shadow"", ""target"": ""Pikula"", ""value"": 0.028471515},"
Goblins,Slivers,140.5,18,0.113564669,8.517350158,0.028391167,"{""source"": ""Goblins"", ""target"": ""Slivers"", ""value"": 9},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Goblins"", ""target"": ""Slivers"", ""value"": 0.02839116725},"
Arclight Phoenix,Junk,191.89,24.51,0.113262477,8.494685767,0.028315619,"{""source"": ""Arclight Phoenix"", ""target"": ""Junk"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Arclight Phoenix"", ""target"": ""Junk"", ""value"": 0.02831561925},"
Delver (Other),Pikula,153.83,19.5,0.112502164,8.437662263,0.028125541,"{""source"": ""Delver (Other)"", ""target"": ""Pikula"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Delver (Other)"", ""target"": ""Pikula"", ""value"": 0.028125541},"
Dark Depths,Elves,172.54,21.82,0.112265898,8.419942375,0.028066475,"{""source"": ""Dark Depths"", ""target"": ""Elves"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Dark Depths"", ""target"": ""Elves"", ""value"": 0.0280664745},"
Doomsday,Stoneblade,156,19.71,0.112173468,8.413010073,0.028043367,"{""source"": ""Doomsday"", ""target"": ""Stoneblade"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Doomsday"", ""target"": ""Stoneblade"", ""value"": 0.028043367},"
Nic Fit,Reanimator,206.93,26.08,0.111926527,8.394489507,0.027981632,"{""source"": ""Nic Fit"", ""target"": ""Reanimator"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Nic Fit"", ""target"": ""Reanimator"", ""value"": 0.02798163175},"
Death's Shadow,Junk,150.04,18.9,0.111874038,8.390552859,0.02796851,"{""source"": ""Death's Shadow"", ""target"": ""Junk"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death's Shadow"", ""target"": ""Junk"", ""value"": 0.0279685095},"
Canadian Threshold,Doomsday,144.28,18.17,0.1118498,8.388734995,0.02796245,"{""source"": ""Canadian Threshold"", ""target"": ""Doomsday"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Canadian Threshold"", ""target"": ""Doomsday"", ""value"": 0.02796245},"
4-c Control,Nic Fit,154.4,19.33,0.111264606,8.34484545,0.027816152,"{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"": 0.0278161515},"
Burn,Goblins,164.19,20.5,0.110996805,8.324760409,0.027749201,"{""source"": ""Burn"", ""target"": ""Goblins"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Burn"", ""target"": ""Goblins"", ""value"": 0.02774920125},"
Junk,UWx Control,159.43,19.89,0.110919027,8.318927058,0.027729757,"{""source"": ""Junk"", ""target"": ""UWx Control"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Junk"", ""target"": ""UWx Control"", ""value"": 0.02772975675},"
Death's Shadow,Zombie Bombardment,150.7,18.57,0.109706386,8.227978969,0.027426597,"{""source"": ""Death's Shadow"", ""target"": ""Zombie Bombardment"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death's Shadow"", ""target"": ""Zombie Bombardment"", ""value"": 0.0274265965},"
Dragon Stompy,MUD,144.63,17.67,0.108872458,8.165434381,0.027218115,"{""source"": ""Dragon Stompy"", ""target"": ""MUD"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Dragon Stompy"", ""target"": ""MUD"", ""value"": 0.0272181145},"
Bomberman,Dragon Stompy,131.13,16,0.108747366,8.156052471,0.027186842,"{""source"": ""Bomberman"", ""target"": ""Dragon Stompy"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Bomberman"", ""target"": ""Dragon Stompy"", ""value"": 0.0271868415},"
Stoneblade,Storm,183.25,22.27,0.108359284,8.126946283,0.027089821,"{""source"": ""Stoneblade"", ""target"": ""Storm"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Stoneblade"", ""target"": ""Storm"", ""value"": 0.027089821},"
Storm,UWx Control,187.52,22.78,0.108321446,8.124108417,0.027080362,"{""source"": ""Storm"", ""target"": ""UWx Control"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Storm"", ""target"": ""UWx Control"", ""value"": 0.0270803615},"
Doomsday,UWx Control,161.71,19.5,0.107609955,8.070746648,0.026902489,"{""source"": ""Doomsday"", ""target"": ""UWx Control"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Doomsday"", ""target"": ""UWx Control"", ""value"": 0.02690248875},"
Infect,LOAM,165.49,19.84,0.107052285,8.028921383,0.026763071,"{""source"": ""Infect"", ""target"": ""LOAM"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Infect"", ""target"": ""LOAM"", ""value"": 0.02676307125},"
Arclight Phoenix,Dark Depths,228.55,27.27,0.106598389,7.994879212,0.026649597,"{""source"": ""Arclight Phoenix"", ""target"": ""Dark Depths"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Arclight Phoenix"", ""target"": ""Dark Depths"", ""value"": 0.02664959725},"
Reanimator,Storm,204.75,24.24,0.105856151,7.939211319,0.026464038,"{""source"": ""Reanimator"", ""target"": ""Storm"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Reanimator"", ""target"": ""Storm"", ""value"": 0.02646403775},"
Food Chain,Junk,127.5,15,0.105263158,7.894736842,0.02631579,"{""source"": ""Food Chain"", ""target"": ""Junk"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Food Chain"", ""target"": ""Junk"", ""value"": 0.0263157895},"
Doomsday,Reanimator,178.8,21.03,0.105239454,7.892959015,0.026309864,"{""source"": ""Doomsday"", ""target"": ""Reanimator"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Doomsday"", ""target"": ""Reanimator"", ""value"": 0.0263098635},"
LOAM,Zombie Bombardment,140.5,16.5,0.105095541,7.882165605,0.026273885,"{""source"": ""LOAM"", ""target"": ""Zombie Bombardment"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""LOAM"", ""target"": ""Zombie Bombardment"", ""value"": 0.02627388525},"
Dragon Stompy,Goblins,153.63,18,0.10487677,7.865757735,0.026219193,"{""source"": ""Dragon Stompy"", ""target"": ""Goblins"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Dragon Stompy"", ""target"": ""Goblins"", ""value"": 0.0262191925},"
Pikula,Reanimator,193.96,22.7,0.104772455,7.85793409,0.026193114,"{""source"": ""Pikula"", ""target"": ""Reanimator"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Pikula"", ""target"": ""Reanimator"", ""value"": 0.02619311375},"
Infect,Sneak & Show,206.66,24.1,0.104437511,7.832813313,0.026109378,"{""source"": ""Infect"", ""target"": ""Sneak & Show"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Infect"", ""target"": ""Sneak & Show"", ""value"": 0.02610937775},"
Death and taxes,Lands,203.68,23.64,0.103994369,7.799577688,0.025998592,"{""source"": ""Death and taxes"", ""target"": ""Lands"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death and taxes"", ""target"": ""Lands"", ""value"": 0.02599859225},"
Grixis Delver,Pikula,156.33,18,0.103252452,7.743933918,0.025813113,"{""source"": ""Grixis Delver"", ""target"": ""Pikula"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Delver"", ""target"": ""Pikula"", ""value"": 0.025813113},"
Dark Depths,Zombie Bombardment,153.8,17.69,0.103154703,7.736602717,0.025788676,"{""source"": ""Dark Depths"", ""target"": ""Zombie Bombardment"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Dark Depths"", ""target"": ""Zombie Bombardment"", ""value"": 0.02578867575},"
Delver (Other),Zombie Bombardment,140.83,16,0.102021297,7.651597271,0.025505324,"{""source"": ""Delver (Other)"", ""target"": ""Zombie Bombardment"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Delver (Other)"", ""target"": ""Zombie Bombardment"", ""value"": 0.02550532425},"
Eldrazi Aggro,Goblins,179.64,20.33,0.10166525,7.624893734,0.025416313,"{""source"": ""Eldrazi Aggro"", ""target"": ""Goblins"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Eldrazi Aggro"", ""target"": ""Goblins"", ""value"": 0.0254163125},"
Death's Shadow,Legacy Landstill,153.18,17.33,0.101636268,7.622720075,0.025409067,"{""source"": ""Death's Shadow"", ""target"": ""Legacy Landstill"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death's Shadow"", ""target"": ""Legacy Landstill"", ""value"": 0.025409067},"
Grixis Delver,Junk,140.83,15.75,0.100587559,7.544066931,0.02514689,"{""source"": ""Grixis Delver"", ""target"": ""Junk"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Delver"", ""target"": ""Junk"", ""value"": 0.02514688975},"
Humans,Merfolk,125.33,14,0.100480873,7.536065456,0.025120218,"{""source"": ""Humans"", ""target"": ""Merfolk"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Humans"", ""target"": ""Merfolk"", ""value"": 0.02512021825},"
Arclight Phoenix,Pikula,213.29,23.81,0.100421763,7.531632223,0.025105441,"{""source"": ""Arclight Phoenix"", ""target"": ""Pikula"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Arclight Phoenix"", ""target"": ""Pikula"", ""value"": 0.02510544075},"
Antiquities War,Food Chain,130,14.5,0.100346021,7.525951557,0.025086505,"{""source"": ""Antiquities War"", ""target"": ""Food Chain"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Antiquities War"", ""target"": ""Food Chain"", ""value"": 0.02508650525},"
Dark Depths,Grixis Control,205.5,22.92,0.100341476,7.525610717,0.025085369,"{""source"": ""Dark Depths"", ""target"": ""Grixis Control"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Dark Depths"", ""target"": ""Grixis Control"", ""value"": 0.025085369},"
Death's Shadow,Nic Fit,186.07,20.75,0.100328788,7.524659124,0.025082197,"{""source"": ""Death's Shadow"", ""target"": ""Nic Fit"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death's Shadow"", ""target"": ""Nic Fit"", ""value"": 0.025082197},"
Painter,UWx Control,162.15,18.03,0.1000666,7.504995005,0.02501665,"{""source"": ""Painter"", ""target"": ""UWx Control"", ""value"": 8},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Painter"", ""target"": ""UWx Control"", ""value"": 0.02501665},"
Dark Depths,Death's Shadow,188.44,20.79,0.099364336,7.452325192,0.024841084,"{""source"": ""Dark Depths"", ""target"": ""Death's Shadow"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Dark Depths"", ""target"": ""Death's Shadow"", ""value"": 0.024841084},"
Cloudpost Ramp,Dark Depths,197.45,21.44,0.097948741,7.346155603,0.024487185,"{""source"": ""Cloudpost Ramp"", ""target"": ""Dark Depths"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Cloudpost Ramp"", ""target"": ""Dark Depths"", ""value"": 0.02448718525},"
Merfolk,Painter,125.83,13.5,0.09689227,7.266920261,0.024223068,"{""source"": ""Merfolk"", ""target"": ""Painter"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Merfolk"", ""target"": ""Painter"", ""value"": 0.0242230675},"
Legacy Landstill,Merfolk,126.83,13.5,0.09620181,7.215135751,0.024050453,"{""source"": ""Legacy Landstill"", ""target"": ""Merfolk"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Legacy Landstill"", ""target"": ""Merfolk"", ""value"": 0.0240504525},"
Merfolk,UWx Control,169.88,18.08,0.096190679,7.214300915,0.02404767,"{""source"": ""Merfolk"", ""target"": ""UWx Control"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Merfolk"", ""target"": ""UWx Control"", ""value"": 0.02404766975},"
Goblins,Maverick,160,17,0.096045198,7.203389831,0.0240113,"{""source"": ""Goblins"", ""target"": ""Maverick"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Goblins"", ""target"": ""Maverick"", ""value"": 0.0240112995},"
Merfolk,UR Delver,156.13,16.51,0.09563253,7.172439759,0.023908133,"{""source"": ""Merfolk"", ""target"": ""UR Delver"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Merfolk"", ""target"": ""UR Delver"", ""value"": 0.0239081325},"
Grixis Control,Pikula,189.16,20,0.095620578,7.171543316,0.023905145,"{""source"": ""Grixis Control"", ""target"": ""Pikula"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Control"", ""target"": ""Pikula"", ""value"": 0.0239051445},"
Painter,Sneak & Show,183.51,19.34,0.095341385,7.150603895,0.023835346,"{""source"": ""Painter"", ""target"": ""Sneak & Show"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Painter"", ""target"": ""Sneak & Show"", ""value"": 0.02383534625},"
Death and taxes,Nic Fit,216.95,22.73,0.09483478,7.112608478,0.023708695,"{""source"": ""Death and taxes"", ""target"": ""Nic Fit"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death and taxes"", ""target"": ""Nic Fit"", ""value"": 0.023708695},"
Dark Depths,Grixis Delver,177.43,18.54,0.094606317,7.095473797,0.023651579,"{""source"": ""Dark Depths"", ""target"": ""Grixis Delver"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Dark Depths"", ""target"": ""Grixis Delver"", ""value"": 0.02365157925},"
Dragon Stompy,Sneak & Show,196.92,20.45,0.09407922,7.055941482,0.023519805,"{""source"": ""Dragon Stompy"", ""target"": ""Sneak & Show"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Dragon Stompy"", ""target"": ""Sneak & Show"", ""value"": 0.023519805},"
Burn,Dragon Stompy,158.88,16.47,0.093926433,7.044482464,0.023481608,"{""source"": ""Burn"", ""target"": ""Dragon Stompy"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Burn"", ""target"": ""Dragon Stompy"", ""value"": 0.02348160825},"
Antiquities War,Dragon Stompy,135.13,14,0.093877825,7.040836854,0.023469456,"{""source"": ""Antiquities War"", ""target"": ""Dragon Stompy"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Antiquities War"", ""target"": ""Dragon Stompy"", ""value"": 0.02346945625},"
Eldrazi Aggro,Painter,158.8,16.25,0.09283062,6.962296487,0.023207655,"{""source"": ""Eldrazi Aggro"", ""target"": ""Painter"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Eldrazi Aggro"", ""target"": ""Painter"", ""value"": 0.023207655},"
Death and taxes,Infect,211.23,21.56,0.092615662,6.946174664,0.023153916,"{""source"": ""Death and taxes"", ""target"": ""Infect"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death and taxes"", ""target"": ""Infect"", ""value"": 0.0231539155},"
4-c Control,Pikula,144.33,14.5,0.091292577,6.846943273,0.022823144,"{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"": 0.02282314425},"
Delver (Other),Merfolk,149.66,15,0.091096806,6.832260415,0.022774202,"{""source"": ""Delver (Other)"", ""target"": ""Merfolk"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Delver (Other)"", ""target"": ""Merfolk"", ""value"": 0.0227742015},"
LOAM,Reanimator,204.86,20.5,0.090965566,6.822417465,0.022741392,"{""source"": ""LOAM"", ""target"": ""Reanimator"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""LOAM"", ""target"": ""Reanimator"", ""value"": 0.0227413915},"
Food Chain,Painter,130.5,13,0.090592334,6.794425087,0.022648084,"{""source"": ""Food Chain"", ""target"": ""Painter"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Food Chain"", ""target"": ""Painter"", ""value"": 0.0226480835},"
Cloudpost Ramp,Dragon Stompy,177.46,17.66,0.090508405,6.788130381,0.022627101,"{""source"": ""Cloudpost Ramp"", ""target"": ""Dragon Stompy"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Cloudpost Ramp"", ""target"": ""Dragon Stompy"", ""value"": 0.02262710125},"
Food Chain,Zombie Bombardment,131.5,13,0.089965398,6.747404844,0.02249135,"{""source"": ""Food Chain"", ""target"": ""Zombie Bombardment"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Food Chain"", ""target"": ""Zombie Bombardment"", ""value"": 0.0224913495},"
Goblins,Merfolk,151.83,15,0.089911886,6.743391476,0.022477972,"{""source"": ""Goblins"", ""target"": ""Merfolk"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Goblins"", ""target"": ""Merfolk"", ""value"": 0.0224779715},"
Grixis Control,Painter,173.9,17.13,0.089671779,6.725383448,0.022417945,"{""source"": ""Grixis Control"", ""target"": ""Painter"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Control"", ""target"": ""Painter"", ""value"": 0.02241794475},"
Grixis Delver,Merfolk,149.7,14.73,0.089582193,6.718664477,0.022395548,"{""source"": ""Grixis Delver"", ""target"": ""Merfolk"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Delver"", ""target"": ""Merfolk"", ""value"": 0.02239554825},"
Delver (Other),Reanimator,205.19,20,0.08881389,6.661041787,0.022203473,"{""source"": ""Delver (Other)"", ""target"": ""Reanimator"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Delver (Other)"", ""target"": ""Reanimator"", ""value"": 0.0222034725},"
Doomsday,Infect,150.83,14.67,0.088640483,6.648036254,0.022160121,"{""source"": ""Doomsday"", ""target"": ""Infect"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Doomsday"", ""target"": ""Infect"", ""value"": 0.02216012075},"
Food Chain,Reanimator,192.46,18.7,0.088558439,6.641882932,0.02213961,"{""source"": ""Food Chain"", ""target"": ""Reanimator"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Food Chain"", ""target"": ""Reanimator"", ""value"": 0.02213960975},"
Legacy Landstill,Pikula,140,13.5,0.087947883,6.596091205,0.021986971,"{""source"": ""Legacy Landstill"", ""target"": ""Pikula"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Legacy Landstill"", ""target"": ""Pikula"", ""value"": 0.02198697075},"
Doomsday,Legacy Landstill,124.5,12,0.087912088,6.593406593,0.021978022,"{""source"": ""Doomsday"", ""target"": ""Legacy Landstill"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Doomsday"", ""target"": ""Legacy Landstill"", ""value"": 0.021978022},"
Bomberman,Death and taxes,188.02,18.08,0.087724406,6.579330422,0.021931102,"{""source"": ""Bomberman"", ""target"": ""Death and taxes"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Bomberman"", ""target"": ""Death and taxes"", ""value"": 0.0219311015},"
Reanimator,Sneak & Show,247.91,23.82,0.087660545,6.574540905,0.021915136,"{""source"": ""Reanimator"", ""target"": ""Sneak & Show"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Reanimator"", ""target"": ""Sneak & Show"", ""value"": 0.02191513625},"
Legacy Landstill,Storm,151.75,14.56,0.087547351,6.56605135,0.021886838,"{""source"": ""Legacy Landstill"", ""target"": ""Storm"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Legacy Landstill"", ""target"": ""Storm"", ""value"": 0.02188683775},"
Affinity,Cloudpost Ramp,166.67,15.99,0.087539691,6.565476842,0.021884923,"{""source"": ""Affinity"", ""target"": ""Cloudpost Ramp"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Affinity"", ""target"": ""Cloudpost Ramp"", ""value"": 0.02188492275},"
Painter,Stoneblade,162.1,15.41,0.086812011,6.510900794,0.021703003,"{""source"": ""Painter"", ""target"": ""Stoneblade"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Painter"", ""target"": ""Stoneblade"", ""value"": 0.02170300275},"
Arclight Phoenix,LOAM,224.73,21.34,0.08672329,6.504246759,0.021680823,"{""source"": ""Arclight Phoenix"", ""target"": ""LOAM"", ""value"": 7},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Arclight Phoenix"", ""target"": ""LOAM"", ""value"": 0.0216808225},"
Canadian Threshold,LOAM,172.96,16.33,0.086269745,6.470230863,0.021567436,"{""source"": ""Canadian Threshold"", ""target"": ""LOAM"", ""value"": 6},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Canadian Threshold"", ""target"": ""LOAM"", ""value"": 0.02156743625},"
BUG Midrange,Reanimator,200.03,18.83,0.086036736,6.452755186,0.021509184,"{""source"": ""BUG Midrange"", ""target"": ""Reanimator"", ""value"": 6},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""BUG Midrange"", ""target"": ""Reanimator"", ""value"": 0.021509184},"
Elves,Lands,170.28,16,0.085892205,6.441915396,0.021473051,"{""source"": ""Elves"", ""target"": ""Lands"", ""value"": 6},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Elves"", ""target"": ""Lands"", ""value"": 0.02147305125},"
Antiquities War,Grixis Control,177.44,16.61,0.085596496,6.419737181,0.021399124,"{""source"": ""Antiquities War"", ""target"": ""Grixis Control"", ""value"": 6},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Antiquities War"", ""target"": ""Grixis Control"", ""value"": 0.021399124},"
Canadian Threshold,Merfolk,156.69,14.63,0.085395751,6.404681298,0.021348938,"{""source"": ""Canadian Threshold"", ""target"": ""Merfolk"", ""value"": 6},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Canadian Threshold"", ""target"": ""Merfolk"", ""value"": 0.02134893775},"
Dark Depths,Death and taxes,223.28,20.79,0.085180481,6.388536076,0.02129512,"{""source"": ""Dark Depths"", ""target"": ""Death and taxes"", ""value"": 6},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Dark Depths"", ""target"": ""Death and taxes"", ""value"": 0.02129512025},"
Antiquities War,Cloudpost Ramp,168.33,15.66,0.085113321,6.383499103,0.02127833,"{""source"": ""Antiquities War"", ""target"": ""Cloudpost Ramp"", ""value"": 6},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Antiquities War"", ""target"": ""Cloudpost Ramp"", ""value"": 0.02127833025},"
Bomberman,Cloudpost Ramp,168.33,15.66,0.085113321,6.383499103,0.02127833,"{""source"": ""Bomberman"", ""target"": ""Cloudpost Ramp"", ""value"": 6},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Bomberman"", ""target"": ""Cloudpost Ramp"", ""value"": 0.02127833025},"
Grixis Delver,Zombie Bombardment,145.33,13.5,0.084996537,6.374740288,0.021249134,"{""source"": ""Grixis Delver"", ""target"": ""Zombie Bombardment"", ""value"": 6},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Delver"", ""target"": ""Zombie Bombardment"", ""value"": 0.02124913425},"
Burn,Canadian Threshold,176.65,16.33,0.084620168,6.346512592,0.021155042,"{""source"": ""Burn"", ""target"": ""Canadian Threshold"", ""value"": 6},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Burn"", ""target"": ""Canadian Threshold"", ""value"": 0.021155042},"
Junk,Storm,152.67,14.1,0.084547581,6.341068538,0.021136895,"{""source"": ""Junk"", ""target"": ""Storm"", ""value"": 6},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Junk"", ""target"": ""Storm"", ""value"": 0.02113689525},"
Arclight Phoenix,Belcher,203.07,18.67,0.084197709,6.314828177,0.021049427,"{""source"": ""Arclight Phoenix"", ""target"": ""Belcher"", ""value"": 6},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Arclight Phoenix"", ""target"": ""Belcher"", ""value"": 0.02104942725},"
4-c Control,Antiquities War,130.83,12,0.084015963,6.301197227,0.021003991,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"": 6},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"": 0.02100399075},"
Antiquities War,Merfolk,131.33,12,0.083722877,6.279215796,0.020930719,"{""source"": ""Antiquities War"", ""target"": ""Merfolk"", ""value"": 6},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Antiquities War"", ""target"": ""Merfolk"", ""value"": 0.02093071925},"
