Card Name,4-c Control,Affinity,Antiquities War,Arclight Phoenix,Belcher,Bomberman,BUG Midrange,Burn,Canadian Threshold,Cloudpost Ramp,Dark Depths,Death and taxes,Death's Shadow,Delver (Other),Doomsday,Dragon Stompy,Dredge,Eldrazi Aggro,Elves,Food Chain,Goblins,Grixis Control,Grixis Delver,Humans,Infect,Junk,Lands,Legacy Landstill,LOAM,Maverick,Merfolk,MUD,Nic Fit,Painter,Pikula,Reanimator,Slivers,Sneak & Show,Stoneblade,Storm,UR Delver,UWx Control,Zombie Bombardment
"Gideon, Ally of Zendikar",,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.666666667,,,,,1,,,,0.8,,,0.0625,
Gilded Drake,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glacial Chasm,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714285714,,,,,,,,,,,,,,,,
Glimmerpost,,,,,,,,,,4,,,,,,,,1.6,,,,,,,,,,,,,,2,,,,,,,,,,,
Glimpse of Nature,,,,,,,,,,,,,,,,,,,2.666666667,,,,,,,,,,,,,,,,,,,,,,,,
Glistener Elf,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,
Goblin Bombardment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Goblin Chainwhirler,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Goblin Charbelcher,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin Chieftain,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Goblin Cratermaker,,,,,,,,,,,,0.1,,,,0.166666667,,,,,2,0.125,,,,,,,,,,,,,,,,,,,,,
Goblin Guide,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin Lackey,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Goblin Matron,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Goblin Piledriver,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Goblin Rabblemaster,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Goblin Ringleader,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Goblin Sharpshooter,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Goblin Trashmaster,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Goblin Warchief,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Golgari Charm,,,,,,,1,,,,0.222222222,,,0.5,,,,,,,,,,,,1,,,2,,,,0.666666667,,,,,,,,,,2
Golgari Grave-Troll,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Golgari Thug,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Gone Missing,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grafdigger's Cage,,,,,,,,0.333333333,0.75,,0.222222222,0.1,,,,0.166666667,,,,1,,,0.5,,,,,,,,,,,1,0.5,,,0.846153846,0.1,,0.7,,
Grapeshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222222222,,,
Grave Titan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.333333333,,,,,,,
Gravecrawler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Green Sun's Zenith,,,,,,,,,,,0.222222222,,,,,,,,4,,,,,,1.5,,,,1,3.666666667,,,1.333333333,,,,,,,,,,
"Grenzo, Havoc Raiser",,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,
Grim Lavamancer,,,,,,,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,
Grim Monolith,,,,,,,,,,1.333333333,,,,,,,,2.4,,,,,,,,,,,,,,4,,,,,,,,,,,
Grim Tutor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111111111,,,
Grindstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
Grip of Phyresis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Griselbrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,2.923076923,,,,,
Grove of the Burnwillows,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,3.857142857,,2,,,,,,,,,,,,,,
Gurmag Angler,,,,0.2,,,,,,,,,1.6,2,,,,,,,,1.5,2.5,,,,,,,,,,,,0.5,,,,,,,,
Hangarback Walker,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Hanweir Garrison,,,,,,,,,,,,,,,,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harbinger of the Tides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,
Harmonic Sliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Hazoret the Fervent,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helm of Obedience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,
Heritage Druid,,,,,,,,,,,,,,,,,,,3.333333333,,,,,,,,,,,,,,,,,,,,,,,,
Hero of Bladehold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
Hibernation Sliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Hooting Mandrills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,
Hope of Ghirapur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.444444444,,,
Horizon Canopy,,,,,,,,,,0.333333333,,0.4,,,,,,,0.666666667,,,,,3,,1,0.285714286,,,1,,,,,0.5,,,,,,,,
Hull Breach,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humility,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.5,,,,,,,0.0625,
Hurkyl's Recall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.222222222,,,
Hydroblast,0.5,,,,,,,,,,,,,,,,,,,0.5,,0.25,0.25,,,,,1,,,,,,2,,,,,0.1,,,0.125,
Hydroid Krasis,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
Hymn to Tourach,2.5,,,0.4,,,3,,,,2.666666667,,2,1,,,,,,,,2.5,,,,3,,,1.333333333,,,,1,,1,0.666666667,,,0.1,,,,3
Ichorid,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial Recruiter,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Impulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538461538,,,,,
Infernal Tutor,,,,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Inkmoth Nexus,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
Inquisition of Kozilek,0.5,,,0.8,,,2,,,,0.333333333,,,0.5,,,,,,,,0.375,0.5,,1,1,,,,,,,,,1.5,,,0.153846154,0.1,,,,2
Insolent Neonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
Into the North,,,,,,,,,,,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Inventors' Fair,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
Invigorate,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
"Iona, Shield of Emeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833333333,,,,,,,
Island,0.5,,,0.8,,,1.5,,,,,,0.4,1,2,,,,,2,,1.875,0.5,,,,,4,,,11.5,,,6,,,,3.461538462,4.5,1.666666667,2.1,5.625,
Ixalan's Binding,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Izzet Staticaster,,,,,,,,,0.25,,,,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,0.2,,
"Jace, the Mind Sculptor",2,,,,,,2,,,,,,,,,,,,,,,2.25,,,,,,3,,,,,,,,,,0.076923077,2.4,,,2.75,
"Jace, Vryn's Prodigy",,,,0.2,,,,,,,,,0.2,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,
Jeweled Amulet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,
"Kambal, Consul of Allocation",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.333333333,,,,,,0.5,,,,,,,,
Karakas,,1,,,,2,,,,1,0.777777778,2.5,,,,,,1,0.333333333,,0.5,,,2,0.5,1,0.857142857,1,1,1,,,1,,1,,2,,0.5,,,0.1875,
"Karn, Scion of Urza",,2,3,,,4,,,,0.666666667,,0.3,,,,,,1.4,,,,,,,,,,,,,,2,,2,,,,,,,,,
Kavu Predator,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
"Kaya, Ghost Assassin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
Kitesail Freebooter,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
Knight of Autumn,,,,,,,,,,,,0.1,,,,,,,,,,,,2,,,,,0.333333333,1,,,0.333333333,,,,,,,,,,
Knight of the Reliquary,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,
Kolaghan's Command,2.5,,,0.2,,,,,,,,,,,,,,,,,,2.5,0.25,,,,,,,,,,,,,,,,,,,,
"Kozilek, the Great Distortion",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kozilek's Return,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,,,,,,,,,,0.615384615,,,,,
"Krenko, Mob Boss",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Krosan Grip,,,,,,,,,,2.333333333,0.444444444,,,,,,,,,,,,,,,,2.857142857,,,,,,,,,,,,,,,,
Kuldotha Forgemaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Lake of the Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
Land Grant,,,,1.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lava Spike,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legion Warboss,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonin Relic-Warder,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leovold, Emissary of Trest",2,,,,,,1,,,,,,,0.5,,,,,,1.5,,,,,1,,,,,,,,0.333333333,,,,,,,,,,
Leyline of Sanctity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,1,,,,0.3125,
Leyline of the Void,,4,,,,,,0.666666667,,,,,,,,4,2,2.4,4,,1.5,,,,,,,,3.666666667,,,,2.666666667,,0.5,,4,0.307692308,,,,,
Life from the Loam,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,
Light Up the Stage,,,,,,,,1.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,
Lightning Bolt,1,,,,,,,4,3,,,,,,,,,,,,,1.75,4,,,,,,,,,,,,,,,,,,4,,
Lightning Greaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,
Liliana of the Veil,,,,0.4,,,0.5,,,,,,,0.5,,,,,,,,,,,,2,,,3,,,,,,3,0.5,,,,,,,
"Liliana, the Last Hope",1.5,,,0.4,,,0.5,,,,1.222222222,,1,1.5,,,,,,1,,1.375,0.25,,,1,,,0.333333333,,,,,,1.5,0.333333333,,,0.1,,,,
Lim-Dûl's Vault,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,0.153846154,,,,,
Lingering Souls,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,2.5,,,,,,,,
Lion's Eye Diamond,,,,0.8,4,4,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,4,,,
Living Wish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.666666667,,,,,,,,,,
Llanowar Elves,,,,,,,,,,,,,,,,,,,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,
Lodestone Bauble,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lodestone Golem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Lord of Atlantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Lost Legacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,,,,
Lotus Petal,,4,,2.2,4,4,,,,,1.666666667,,,,4,1.666666667,1,,,,,0.375,,,,,,,,,,,,,,3.333333333,,2.846153846,,4,,,
Maelstrom Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,
Magus of the Moon,,,,,,,,,,,,0.2,,,,3.333333333,,,,,,,,,,,,,,,,,,,,0.166666667,,,,,,,
Mana Confluence,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Manabond,,,,,,,,,,,,,,,,,,,,,,,,,,,0.428571429,,,,,,,,,,,,,,,,
Manamorphose,,,,1.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipulate Fate,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Manriki-Gusari,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsh Casualties,0.5,,,0.2,,,1,,,,0.444444444,,0.4,1,,,,,,0.5,,0.75,,,,,,,,,,,,,,,,,,,,,
Marsh Flats,,,,,,,,,,,,0.1,0.6,,,,,,,,,,,,,2,,,0.666666667,,,,0.333333333,,4,0.166666667,,0.153846154,0.4,,,0.3125,4
Massacre,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.333333333,,,0.333333333,,,,0.666666667,,,
Massacre Wurm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,0.333333333,,,,,,,
Master of the Pearl Trident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Matsu-Tribe Sniper,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,
Matter Reshaper,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Maze of Ith,,,,,,,,,,1,,,,,,,,,,,,,,,,,1.857142857,,1,0.333333333,,,,,,,,,,,,,
Meddling Mage,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
Meekstone,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,
Mental Note,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meren of Clan Nel Toth,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metalworker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Mindbreak Trap,,,,,,,,0.333333333,,,,,,,,,1.5,,0.666666667,0.5,,,,,,,,,,,,,,,,,,,,,,,
Minister of Pain,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
Mirage Mirror,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirran Crusader,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirror Entity,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,
Misdirection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153846154,,,,,
Mishra's Bauble,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mishra's Factory,,4,,,,,,,,,,0.5,,,,,,0.4,,,,,,,,,0.142857143,3,,,,,,,,,,,,,,,
Mission Briefing,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,
Mistcaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Misthollow Griffin,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Misty Rainforest,1.5,,,,,,3.5,,1.5,,0.555555556,,1.4,2.5,2,,,,1.666666667,3,,,1.25,,3.5,,0.142857143,,,,,,0.666666667,,,,,0.923076923,0.9,2.444444444,0.5,0.3125,
Mogg War Marshal,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Molten Vortex,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714285714,,,,,,,,,,,,,,,,
Monastery Mentor,,,,0.8,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,2.375,
Monastery Swiftspear,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother of Runes,,,,,,,,,,,,3.9,,,,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,
Mountain,,,,,,,,10,,,,,,,,9.666666667,,,,,7,,,,,,,,,,,,,,,0.166666667,,0.615384615,,,0.9,,
Mox Diamond,,,,,,,,,,,2.111111111,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,
Mox Opal,,4,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,0.333333333,,,
Murderous Cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,,
Muscle Sliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Mutavault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,4,,,,,,
Mystic Enforcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,
Mystic Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,
Myth Realized,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Narcomoeba,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Order,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Nature's Claim,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Nether Shadow,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Nettle Sentinel,,,,,,,,,,,,,,,,,,,3.333333333,,,,,,,,,,,,,,,,,,,,,,,,
"Nicol Bolas, Planeswalker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,,,,
Night's Whisper,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nihil Spellbomb,0.5,,,,,,0.5,,,,,,0.2,0.5,,,,,,0.5,,0.5,0.25,,,,,,,,,,0.333333333,,,,,,0.2,,,,
Nimble Mongoose,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nissa, Vital Force",,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,0.142857143,,,,,,0.333333333,,,,,,,,,,
Noble Hierarch,,,,,,,,,,,,0.2,,,,,,,,,,,,4,4,,,,,4,,,,,,,,,,,0.3,,
Noxious Revival,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,,
Null Rod,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,1,,,,,,,,,,,0.1,,0.3,,
Oblivion Sower,,,,,,,,,,0.666666667,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Omniscience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,2.307692308,,,,,
Orzhov Pontiff,,,,,,,,,,,,0.4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Overwhelming Splendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,,,,
Pack Rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166666667,,,,,,,
"Padeem, Consul of Innovation",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Painter's Servant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
Palace Jailer,,,,,,,,,,,,1.2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.1875,
Past in Flames,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.666666667,,,
Path to Exile,,,,,,,,,,,,1.2,,,,,,,,,,,,,,2,,,,0.333333333,,,,,,,,,0.5,,,0.0625,
Pendelhaven,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,0.5,,,,,,,,,,,,,,,,,,
Perilous Voyage,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.111111111,,,
Pernicious Deed,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Phantasmagorian,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantasmal Image,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,
Phyrexian Crusader,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Phyrexian Revoker,,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Phyrexian Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.333333333,,,,,,,,,,
Pia and Kiran Nalaar,,,,,,,,,,,,0.1,,,,0.833333333,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Pieces of the Puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,,
Pithing Needle,1,,,,,,,0.166666667,,2,2.222222222,0.3,,1,,,,0.6,,1,0.5,0.875,0.25,,0.5,,,,,0.333333333,,,,2,,0.666666667,1,0.153846154,0.2,,,,
Plains,,,,,,1,,,,,,8.4,,,,,,,,,,,,,,1,,2,,1,,,1.333333333,,1.5,,,,1.8,,,2.5625,
Plateau,,,,,,,,,,,,0.2,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,
Platinum Emperion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Polluted Delta,4,,,4,,,2.5,,2.75,,,,3,4,4,,,,,4,,4,2.25,,,,,,,,,,,,0.5,2,,1.307692308,1.9,4,1.9,2.1875,3
Ponder,4,,,4,,,3,,4,,,,4,4,4,,,,,2,,4,4,,3,,,4,,,,,,,,,,4,3.4,3.888888889,4,4,
Portent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,
Predatory Sliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Predict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6875,
Preordain,,,,1.2,,,,,0.25,,,,0.6,,2,,,,,,,0.5,1.25,,,,,,,,,,,4,,,,2.384615385,0.1,3.111111111,0.9,1.5,
Price of Progress,,,,,,,,3.833333333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,
Priest of Titania,,,,,,,,,,,,,,,,,,,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,
Prized Amalgam,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,4
Progenitus,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,
Pteramander,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,
Pulverize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222222222,,,
Punishing Fire,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,2.571428571,,2,,,,,,,,,,,,,,
Putrid Imp,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyretic Ritual,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyroblast,1.5,,,,,,,1.166666667,2.5,,0.111111111,,,,,,,,,,0.5,1.375,1.75,,,,0.142857143,,,,,,,,,0.166666667,,0.461538462,,,2.3,0.8125,
Pyroclasm,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.153846154,,,,,
Pyromancer Ascension,,,,0.6,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrostatic Pillar,,,,,,,,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qasali Pridemage,,,,,,,,,,,,0.1,,,,,,,,,,,,,0.5,,,,,1,,,,,,,,,,,,,
Quirion Ranger,,,,,,,,,,,,,,,,,,,3.333333333,,,,,,,,,,,,,,,,,,,,,,,,
Rain of Filth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.444444444,,,
Rakdos Charm,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,
Ramunap Excavator,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,0.333333333,1,,,0.333333333,,,,,,,,,,
Ratchet Bomb,,2,,,,,,,,0.333333333,,0.2,1.4,0.5,,,,1.6,,,,,,,,,,,,,,1,,,,,,,,,,,
Reality Smasher,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
Reanimate,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
Reclamation Sage,,,,,,,,,,,,,,,,,,,1.333333333,,,,,,,,,,,,,,0.666666667,,,,,,,,,,
Recruiter of the Guard,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Elemental Blast,0.5,,,,2,,,,,,,,,,,,,,,,1,0.875,0.5,,,,0.142857143,,,,,,,,,0.333333333,,0.076923077,,,0.4,0.3125,
Reflector Mage,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Reforge the Soul,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release the Ants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307692308,,,,,
